InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
TU,Fish,79559,5,Pimephales vigilax perspicuus,Cyprinidae,,,30.705,-89.84611,,,United States of America,Louisiana,Washington,,,Pearl River just above sill at Pools Bluff; 4 mi. S of Bogalusa - Fish Stat. #5.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79554,2,Carpiodes velifer,Catostomidae,,,30.705,-89.84611,,,United States of America,Louisiana,Washington,,,Pearl River just above sill at Pools Bluff; 4 mi. S of Bogalusa - Fish Stat. #5.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79578,21,Lepomis megalotis megalotis,Centrarchidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,"Pearl River just below sill at Pools Bluff; 4 mi. S of Bogalusa, Fish Station #6.",,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79573,10,Ictalurus punctatus,Ictaluridae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,"Pearl River just below sill at Pools Bluff; 4 mi. S of Bogalusa, Fish Station #6.",,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79571,3,Pimephales vigilax perspicuus,Cyprinidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,"Pearl River just below sill at Pools Bluff; 4 mi. S of Bogalusa, Fish Station #6.",,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79575,3,Noturus munitus,Ictaluridae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,"Pearl River just below sill at Pools Bluff; 4 mi. S of Bogalusa, Fish Station #6.",,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79564,2,Carpiodes velifer,Catostomidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,"Pearl River just below sill at Pools Bluff; 4 mi. S of Bogalusa, Fish Station #6.",,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79568,12,Notropis atherinoides,Cyprinidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,"Pearl River just below sill at Pools Bluff; 4 mi. S of Bogalusa, Fish Station #6.",,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79583,60,Percina vigil,Percidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,"Pearl River just below sill at Pools Bluff; 4 mi. S of Bogalusa, Fish Station #6.",,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79601,25,Lepomis megalotis,Centrarchidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River just above mouth of Coburn Creek - Fish Stat. #1.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
