"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"110",34758,1964,10,"16","34758_04","KL DMDM","07/26/2024",NA,48,40,637,"control","control_1964-1973",30.77861,-89.82972,"ACANTH.CYA",0
"111",41040,1966,7,"3","41040_02","IJ","07/26/2024","na",33,27,269,"impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.CYA",0
"112",41040,1966,7,"3","41040_01","IJ JT KL","07/26/2024","na",41,33,467,"impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.CYA",0
"113",42166,1966,10,"29","42166_01","KL ACL GMC","04/17/2024","M",55,46,NA,"impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.CYA",0
"114",42166,1966,10,"29","42166_02","KL GMC","04/17/2024","M",54,46,NA,"impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.CYA",0
"115",51617,1968,4,"17","51617_01","SC IJ KL","07/26/2024",NA,49,41,780,"impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.CYA",0
"116",51617,1968,4,"17","51617_02","jt kl dmdm","07/26/2024","na",51,42,871,"impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.CYA",0
"117",64889,1970,10,"27","64889_02","kl","07/12/2023","na",47,40,NA,"impact","impact_1964-1973",30.74055,-89.82694,"ACANTH.CYA",0
"118",64889,1970,10,"27","64889_01","KL","07/11/23",NA,44,39,NA,"impact","impact_1964-1973",30.74055,-89.82694,"ACANTH.CYA",0
"119",68677,1971,4,"20","68677_02","ht acl gmc","04/22/2024","f",38,33,NA,"control","control_1964-1973",30.76805,-89.83083,"ACANTH.CYA",0
"120",68677,1971,4,"20","68677_01","ht cjw kl","04/22/2024","m",54,46,NA,"control","control_1964-1973",30.76805,-89.83083,"ACANTH.CYA",0
"121",70585,1971,7,"15","70585_02","SC IJ DMDM","07/25/2024",NA,42,37,493,"impact","impact_1964-1973",30.74055,-89.82694,"ACANTH.CYA",0
"122",70585,1971,7,"15","70585_01","DJB CJW","07/25/2024",NA,34,29,250,"impact","impact_1964-1973",30.74055,-89.82694,"ACANTH.CYA",0
"123",72382,1971,10,"26","72382_01","DJB KL","07/25/2024","F",51,41,843,"control","control_1964-1973",30.76805,-89.83083,"ACANTH.CYA",0
"124",72382,1971,10,"26","72382_02","DJB SC DMDM","07/25/2024","F",41,35,472,"control","control_1964-1973",30.76805,-89.83083,"ACANTH.CYA",0
"125",72382,1971,10,"26","72382_04","djb gmc","07/29/2024","na",44,36,571,"control","control_1964-1973",30.76805,-89.83083,"ACANTH.CYA",0
"126",72382,1971,10,"26","72382_03","ij kl","07/29/2024","na",45,37,690,"control","control_1964-1973",30.76805,-89.83083,"ACANTH.CYA",0
"127",72447,1971,10,"26","72667_01","jt dmdm","07/25/2024","f",51,42,825,"impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.CYA",0
"128",72447,1971,10,"26","72447_02","SC IJ GMC","07/25/2024",NA,46,37,708,"impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.CYA",0
"129",75794,1972,1,"25","75794_01","JT KL","07/25/2024","F",46,39,1010,"impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.CYA",0
"130",75794,1972,1,"25","75794_02","JT KL DJB","07/25/2024",NA,53,45,1307,"impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.CYA",0
"131",83736,1973,7,"11","83736_01","JT CJW","07/25/2024",NA,32,26,170,"control","control_1964-1973",30.77861,-89.82972,"ACANTH.CYA",0
"132",83736,1973,7,"11","83736_02","JT DJB GMC","07/25/2024",NA,33,30,277,"control","control_1964-1973",30.77861,-89.82972,"ACANTH.CYA",0
"133",83905,1973,10,"16","83905_01","JT IJ CJW","07/25/2024",NA,38,30,279,"control","control_1964-1973",30.77861,-89.82972,"ACANTH.CYA",0
