"","fish_psite_combo","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp.x","psite_count","scaled_TL_mm","Fish_sp.x","psite_spp.y","Fish_sp.y","Life_History","Parasite_taxonomic_group"
"67","Ictalurus punctatus_ACAN.OSTR","153841","1988",10,"20","153841_01","DJB JT GMC","6/26/2024",NA,101,73,"5899","impact","impact_1984-1993","30.70222","-89.84417","ACAN.OSTR",0,0.848487225915382,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"68","Ictalurus punctatus_ACAN.OSTR","157299","1990",1,"25","157299_01","JT DJB KL","6/26/2024",NA,98,70,"5110","control","control_1984-1993","30.77583","-89.82722","ACAN.OSTR",0,0.728367348227468,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"69","Ictalurus punctatus_ACAN.OSTR","157299","1990",1,"25","157299_02","SC DJB DMDM","6/27/2024",NA,84,65,"2725","control","control_1984-1993","30.77583","-89.82722","ACAN.OSTR",0,0.167807919017199,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"70","Ictalurus punctatus_ACAN.OSTR","157316","1990",1,"25","157316_01","JT DJB GMC","6/27/2024",NA,70,52,"1795","impact","impact_1984-1993","30.75667","-89.82611","ACAN.OSTR",0,-0.392751510193069,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"71","Ictalurus punctatus_ACAN.OSTR","157316","1990",1,"25","157316_02","IJ DJB/ KL ","6/27/2024","MA",40,38,"7190","impact","impact_1984-1993","30.75667","-89.82611","ACAN.OSTR",0,-1.59395028707222,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"72","Ictalurus punctatus_ACAN.OSTR","157351","1990",1,"25","157351_02","DJB DMDM","6/27/2024",NA,127,95,"11785","impact","impact_1984-1993","30.70222","-89.84417","ACAN.OSTR",3,1.88952616587731,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"73","Ictalurus punctatus_ACAN.OSTR","157351","1990",1,"25","157351_01","SC KL","6/27/2024",NA,108,80,NA,"impact","impact_1984-1993","30.70222","-89.84417","ACAN.OSTR",1,1.12876694052052,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"74","Ictalurus punctatus_ACAN.OSTR","159967","1991",1,"3","159967_01","SC JT KL","6/26/2024",NA,64,50,"1534","control","control_1984-1993","30.77583","-89.82722","ACAN.OSTR",0,-0.632991265568898,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"75","Ictalurus punctatus_ACAN.OSTR","159967","1991",1,"3","159967_02","DJB GMC","6/26/2024",NA,69,51,"1754","control","control_1984-1993","30.77583","-89.82722","ACAN.OSTR",0,-0.432791469422374,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"76","Ictalurus punctatus_ACAN.OSTR","160020","1991",1,"3","160020_02","IJ SC GMC","6/27/2024",NA,72,61,"2872","impact","impact_1984-1993","30.705","-89.84611","ACAN.OSTR",0,-0.312671591734459,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
