"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"155","175623",1995,7,29,"175623_01","SC CJW CLW","07/18/2024",NA,51,42,"1280","impact","impact_1994-2003","30.75417","-89.82694","ACAN.AD",0
"156","175623",1995,7,29,"175623_03","JT CJW DMDM","07/18/2024",NA,51,40,"1179","impact","impact_1994-2003","30.75417","-89.82694","ACAN.AD",0
"157","175623",1995,7,29,"175623_02","DJB IJ GMC","07/18/2024",NA,50,41,"1292","impact","impact_1994-2003","30.75417","-89.82694","ACAN.AD",0
"158","184784",1997,10,12,"184784_01","ij cjw","07/22/2024","na",57,48,"1462","impact","impact_1994-2003","30.74195","-89.82528","ACAN.AD",0
"159","184784",1997,10,12,"184784_02","jt ij kl","07/22/2024","na",62,47,"1898","impact","impact_1994-2003","30.74195","-89.82528","ACAN.AD",0
"160","184784",1997,10,12,"184784_04","jt sc cjw","07/22/2024","na",63,48,"1906","impact","impact_1994-2003","30.74195","-89.82528","ACAN.AD",0
"161","184784",1997,10,12,"184784_03","djb sc gmc","07/22/2024","na",59,47,"1941","impact","impact_1994-2003","30.74195","-89.82528","ACAN.AD",0
"162","185790",1998,4,25,"185790_03","DMDM IJ CLW","07/22/2024","F",69,55,"3373","control","control_1994-2003","30.77611","-89.82777","ACAN.AD",1
"163","185790",1998,4,25,"185790_04","IJ DJB DMDM","07/22/2024","F",69,54,"2898","control","control_1994-2003","30.77611","-89.82777","ACAN.AD",0
"164","185790",1998,4,25,"185790_01","DJB GMC","07/22/2024",NA,69,55,"2957","control","control_1994-2003","30.77611","-89.82777","ACAN.AD",0
"165","185790",1998,4,25,"185790_02","DJB KL","07/22/2024",NA,76,63,"3728","control","control_1994-2003","30.77611","-89.82777","ACAN.AD",0
"166","186257",1998,7,18,"186257_01","jt djb gmc","07/10/2024","na",70,55,"3187","impact","impact_1994-2003","30.73694","-89.82694","ACAN.AD",0
"167","186257",1998,7,18,"186257_04","sc ij kl","07/10/2024","na",76,58,"3433","impact","impact_1994-2003","30.73694","-89.82694","ACAN.AD",0
"168","186257",1998,7,18,"186257_02","JT SJB GMC","7/10/2024","na",72,55,"3122","impact","impact_1994-2003","30.73694","-89.82694","ACAN.AD",0
"169","186257",1998,9,18,"186257_03","SC KL","7/10/2024","na",67,55,"2630","impact","impact_1994-2003","30.73694","-89.82694","ACAN.AD",0
"170","186646",1998,10,10,"186646_01","JT IJ KL","07/18/2024","na",70,54,"3012","control","control_1994-2003","30.77611","-89.82722","ACAN.AD",0
"171","186646",1998,10,10,"186646_02","SC CJW KL","07/18/2024","na",67,53,"2457","control","control_1994-2003","30.77611","-89.82722","ACAN.AD",0
"172","186646",1998,10,10,"186646_04","SC IJ CJW","07/18/2024","na",65,53,"2221","control","control_1994-2003","30.77611","-89.82722","ACAN.AD",0
"173","186646",1998,10,10,"186646_03","DJB KL","7/18/2024",NA,64,52,"2207","control","control_1994-2003","30.77611","-89.82722","ACAN.AD",0
"174","189549",1999,10,9,"189549_03","KL DJB DMDM","07/12/2024","F",74,60,"3261","impact","impact_1994-2003","30.70389","-89.84472","ACAN.AD",0
"175","189549",1999,10,9,"189549_04","jt sc dmdm","07/12/2024","f",72,55,"3038","impact","impact_1994-2003","30.70389","-89.84472","ACAN.AD",0
